Record Date,Country - Currency Description,Exchange Rate,Effective Date
2024-12-31,Afghanistan-Afghani,70.35,2024-12-31
2024-09-30,Afghanistan-Afghani,68.46,2024-09-30
2024-06-30,Afghanistan-Afghani,70.96,2024-06-30
2024-03-31,Afghanistan-Afghani,71.2,2024-03-31
2023-12-31,Afghanistan-Afghani,70.54,2023-12-31
2023-09-30,Afghanistan-Afghani,69.39,2023-11-30
2023-09-30,Afghanistan-Afghani,77.86,2023-09-30
2023-06-30,Afghanistan-Afghani,85.95,2023-06-30
2023-03-31,Afghanistan-Afghani,86.75,2023-03-31
2022-12-31,Afghanistan-Afghani,89.11,2022-12-31
2022-09-30,Afghanistan-Afghani,88.04,2022-09-30
2022-06-30,Afghanistan-Afghani,87.68,2022-06-30
2022-03-31,Afghanistan-Afghani,88.62,2022-03-31
2021-12-31,Afghanistan-Afghani,91.39,2022-02-15
2021-12-31,Afghanistan-Afghani,103.4,2021-12-31
2021-09-30,Afghanistan-Afghani,124.15,2021-12-15
2021-09-30,Afghanistan-Afghani,87.88,2021-09-30
2021-06-30,Afghanistan-Afghani,87.84,2021-08-31
2021-06-30,Afghanistan-Afghani,79.15,2021-06-30
2021-03-31,Afghanistan-Afghani,77.1,2021-03-31
2020-12-31,Afghanistan-Afghani,77.09,2020-12-31
2020-09-30,Afghanistan-Afghani,76.97,2020-09-30
2020-06-30,Afghanistan-Afghani,75.487,2020-06-30
2020-03-31,Afghanistan-Afghani,75.586,2020-03-31
2019-12-31,Afghanistan-Afghani,77.625,2019-12-31
2019-09-30,AFGHANISTAN-AFGHANI,77.53,2019-09-30
2019-06-30,AFGHANISTAN-AFGHANI,79.912,2019-06-30
2019-03-31,AFGHANISTAN-AFGHANI,74.78,2019-03-31
2018-12-31,AFGHANISTAN-AFGHANI,74.576,2018-12-31
2018-09-30,AFGHANISTAN-AFGHANI,75.1,2018-09-30
2018-06-30,AFGHANISTAN-AFGHANI,71.55,2018-06-30
2018-03-31,AFGHANISTAN-AFGHANI,69.0,2018-03-31
2017-12-31,AFGHANISTAN-AFGHANI,69.32,2017-12-31
2017-09-30,AFGHANISTAN-AFGHANI,65.15,2017-09-30
2017-06-30,AFGHANISTAN-AFGHANI,67.95,2017-06-30
2017-03-31,AFGHANISTAN-AFGHANI,67.55,2017-03-31
2016-12-31,AFGHANISTAN-AFGHANI,66.5,2016-12-31
2016-09-30,AFGHANISTAN-AFGHANI,65.35,2016-09-30
2016-06-30,AFGHANISTAN-AFGHANI,68.22,2016-06-30
2016-03-31,AFGHANISTAN-AFGHANI,68.45,2016-03-31
2015-12-31,AFGHANISTAN-AFGHANI,67.9,2015-12-31
2015-09-30,AFGHANISTAN-AFGHANI,63.8,2015-09-30
2015-06-30,AFGHANISTAN-AFGHANI,60.26,2015-06-30
2015-03-31,AFGHANISTAN-AFGHANI,57.34,2015-03-31
2024-12-31,Albania-Lek,93.85,2024-12-31
2024-09-30,Albania-Lek,87.85,2024-09-30
2024-06-30,Albania-Lek,93.45,2024-06-30
2024-03-31,Albania-Lek,94.92,2024-03-31
2023-12-31,Albania-Lek,93.23,2023-12-31
2023-09-30,Albania-Lek,100.05,2023-09-30
2023-06-30,Albania-Lek,97.55,2023-06-30
2023-03-31,Albania-Lek,103.77,2023-03-31
2022-12-31,Albania-Lek,106.5,2022-12-31
2022-09-30,Albania-Lek,118.93,2022-09-30
2022-06-30,Albania-Lek,114.45,2022-06-30
2022-03-31,Albania-Lek,109.15,2022-03-31
2021-12-31,Albania-Lek,105.95,2021-12-31
2021-09-30,Albania-Lek,104.8,2021-09-30
2021-06-30,Albania-Lek,103.0,2021-06-30
2021-03-31,Albania-Lek,104.65,2021-03-31
2020-12-31,Albania-Lek,100.35,2020-12-31
2020-09-30,Albania-Lek,105.75,2020-09-30
2020-06-30,Albania-Lek,110.65,2020-06-30
2020-03-31,Albania-Lek,116.45,2020-03-31
2019-12-31,Albania-Lek,108.21,2019-12-31
2019-09-30,ALBANIA-LEK,111.35,2019-09-30
2019-06-30,ALBANIA-LEK,107.6,2019-06-30
2019-03-31,ALBANIA-LEK,111.24,2019-03-31
2018-12-31,ALBANIA-LEK,107.05,2018-12-31
2018-09-30,ALBANIA-LEK,108.9,2018-09-30
2018-06-30,ALBANIA-LEK,107.75,2018-06-30
2018-03-31,ALBANIA-LEK,105.35,2018-03-31
2017-12-31,ALBANIA-LEK,110.6,2017-12-31
2017-09-30,ALBANIA-LEK,113.15,2017-09-30
2017-06-30,ALBANIA-LEK,116.0,2017-06-30
2017-03-31,ALBANIA-LEK,126.75,2017-03-31
2016-12-31,ALBANIA-LEK,128.25,2016-12-31
2016-09-30,ALBANIA-LEK,122.77,2016-09-30
2016-06-30,ALBANIA-LEK,123.16,2016-06-30
2016-03-31,ALBANIA-LEK,121.35,2016-03-31
2015-12-31,ALBANIA-LEK,125.54,2015-12-31
2015-09-30,ALBANIA-LEK,123.99,2015-09-30
2015-06-30,ALBANIA-LEK,125.03,2015-06-30
2015-03-31,ALBANIA-LEK,130.25,2015-03-31
2024-12-31,Algeria-Dinar,135.103,2024-12-31
2024-09-30,Algeria-Dinar,131.49,2024-09-30
2024-06-30,Algeria-Dinar,134.264,2024-06-30
2024-03-31,Algeria-Dinar,134.137,2024-03-31
2023-12-31,Algeria-Dinar,134.051,2023-12-31
2023-09-30,Algeria-Dinar,137.067,2023-09-30
2023-06-30,Algeria-Dinar,135.657,2023-06-30
2023-03-31,Algeria-Dinar,135.132,2023-03-31
2022-12-31,Algeria-Dinar,136.467,2022-12-31
2022-09-30,Algeria-Dinar,140.422,2022-09-30
2022-06-30,Algeria-Dinar,146.158,2022-06-30
2022-03-31,Algeria-Dinar,142.42,2022-03-31
2021-12-31,Algeria-Dinar,138.284,2021-12-31
2021-09-30,Algeria-Dinar,136.61,2021-09-30
2021-06-30,Algeria-Dinar,133.82,2021-06-30
2021-03-31,Algeria-Dinar,133.29,2021-03-31
2020-12-31,Algeria-Dinar,132.212,2020-12-31
2020-09-30,Algeria-Dinar,129.12,2020-09-30
2020-06-30,Algeria-Dinar,129.208,2020-06-30
2020-03-31,Algeria-Dinar,124.55,2020-03-31
2019-12-31,Algeria-Dinar,118.78,2019-12-31
2019-09-30,ALGERIA-DINAR,120.43,2019-09-30
2019-06-30,ALGERIA-DINAR,118.571,2019-06-30
2019-03-31,ALGERIA-DINAR,119.06,2019-03-31
2018-12-31,ALGERIA-DINAR,117.898,2018-12-31
2018-09-30,ALGERIA-DINAR,117.935,2018-09-30
2018-06-30,ALGERIA-DINAR,117.454,2018-06-30
2018-03-31,ALGERIA-DINAR,113.798,2018-03-31
2017-12-31,ALGERIA-DINAR,114.659,2017-12-31
2017-09-30,ALGERIA-DINAR,113.007,2017-09-30
2017-06-30,ALGERIA-DINAR,107.643,2017-06-30
2017-03-31,ALGERIA-DINAR,109.592,2017-03-31
2016-12-31,ALGERIA-DINAR,110.018,2016-12-31
2016-09-30,ALGERIA-DINAR,109.35,2016-09-30
2016-06-30,ALGERIA-DINAR,109.866,2016-06-30
2016-03-31,ALGERIA-DINAR,108.301,2016-03-31
2015-12-31,ALGERIA-DINAR,106.878,2015-12-31
2015-09-30,ALGERIA-DINAR,105.739,2015-09-30
2015-06-30,ALGERIA-DINAR,98.592,2015-06-30
2015-03-31,ALGERIA-DINAR,97.38,2015-03-31
2024-12-31,Angola-Kwanza,912.0,2024-12-31
2024-09-30,Angola-Kwanza,949.825,2024-09-30
2024-06-30,Angola-Kwanza,853.629,2024-06-30
2024-03-31,Angola-Kwanza,832.633,2024-03-31
2023-12-31,Angola-Kwanza,842.5,2023-12-31
2023-09-30,Angola-Kwanza,830.0,2023-09-30
2023-06-30,Angola-Kwanza,825.0,2023-06-30
2023-03-31,Angola-Kwanza,575.0,2023-05-31
2023-03-31,Angola-Kwanza,503.0,2023-03-31
2022-12-31,Angola-Kwanza,503.65,2022-12-31
2022-09-30,Angola-Kwanza,473.0,2022-10-31
2022-09-30,Angola-Kwanza,423.412,2022-09-30
2022-06-30,Angola-Kwanza,417.0,2022-06-30
2022-03-31,Angola-Kwanza,444.64,2022-03-31
2021-12-31,Angola-Kwanza,491.07,2022-02-28
2021-12-31,Angola-Kwanza,562.44,2021-12-31
2021-09-30,Angola-Kwanza,598.65,2021-09-30
2021-06-30,Angola-Kwanza,651.564,2021-06-30
2021-03-31,Angola-Kwanza,621.15,2021-03-31
2020-12-31,Angola-Kwanza,649.6,2020-12-31
2020-09-30,Angola-Kwanza,619.375,2020-09-30
2020-06-30,Angola-Kwanza,600.0,2020-06-30
2020-03-31,Angola-Kwanza,535.0,2020-03-31
2019-12-31,Angola-Kwanza,475.0,2019-12-31
2019-09-30,ANGOLA-KWANZA,365.0,2019-09-30
2019-06-30,ANGOLA-KWANZA,340.0,2019-06-30
2019-03-31,ANGOLA-KWANZA,310.0,2019-03-31
2018-12-31,ANGOLA-KWANZA,310.0,2018-12-31
2018-09-30,ANGOLA-KWANZA,290.0,2018-09-30
2018-06-30,ANGOLA-KWANZA,245.0,2018-06-30
2018-03-31,ANGOLA-KWANZA,215.0,2018-03-31
2017-12-31,ANGOLA-KWANZA,170.0,2017-12-31
2017-09-30,ANGOLA-KWANZA,170.0,2017-09-30
2017-06-30,ANGOLA-KWANZA,170.0,2017-06-30
2017-03-31,ANGOLA-KWANZA,170.0,2017-03-31
2016-12-31,ANGOLA-KWANZA,170.0,2016-12-31
2016-09-30,ANGOLA-KWANZA,170.0,2016-09-30
2016-06-30,ANGOLA-KWANZA,170.0,2016-06-30
2016-03-31,ANGOLA-KWANZA,160.0,2016-03-31
2015-12-31,ANGOLA-KWANZA,145.0,2015-12-31
2015-09-30,ANGOLA-KWANZA,145.0,2015-09-30
2015-06-30,ANGOLA-KWANZA,120.0,2015-06-30
2015-03-31,ANGOLA-KWANZA,104.0,2015-03-31
2019-09-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2019-09-30
2019-06-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2019-06-30
2019-03-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2019-03-31
2018-12-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2018-12-31
2018-09-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2018-09-30
2018-06-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2018-06-30
2018-03-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2018-03-31
2017-12-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2017-12-31
2017-09-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2017-09-30
2017-06-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2017-06-30
2017-03-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2017-03-31
2016-12-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2016-12-31
2016-09-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2016-09-30
2016-06-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2016-06-30
2016-03-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2016-03-31
2015-12-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2015-12-31
2015-09-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2015-09-30
2015-06-30,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2015-06-30
2015-03-31,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2015-03-31
2024-12-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2024-12-31
2024-09-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2024-09-30
2024-06-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2024-06-30
2024-03-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2024-03-31
2023-12-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2023-12-31
2023-09-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2023-09-30
2023-06-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2023-06-30
2023-03-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2023-03-31
2022-12-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2022-12-31
2022-09-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2022-09-30
2022-06-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2022-06-30
2022-03-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2022-03-31
2021-12-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2021-12-31
2021-09-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2021-09-30
2021-06-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2021-06-30
2021-03-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2021-03-31
2020-12-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2020-12-31
2020-09-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2020-09-30
2020-06-30,Antigua & Barbuda-E. Caribbean Dollar,2.7,2020-06-30
2020-03-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2020-03-31
2019-12-31,Antigua & Barbuda-E. Caribbean Dollar,2.7,2019-12-31
2024-12-31,Argentina-Peso,1052.5,2024-12-31
2024-09-30,Argentina-Peso,989.5,2024-09-30
2024-06-30,Argentina-Peso,929.5,2024-06-30
2024-03-31,Argentina-Peso,876.0,2024-03-31
2023-12-31,Argentina-Peso,827.75,2023-12-31
2023-09-30,Argentina-Peso,820.62,2023-12-15
2023-09-30,Argentina-Peso,365.5,2023-09-30
2023-06-30,Argentina-Peso,365.5,2023-08-15
2023-06-30,Argentina-Peso,266.0,2023-06-30
2023-03-31,Argentina-Peso,238.5,2023-05-15
2023-03-31,Argentina-Peso,215.5,2023-03-31
2022-12-31,Argentina-Peso,203.5,2023-02-28
2022-12-31,Argentina-Peso,183.0,2022-12-31
2022-09-30,Argentina-Peso,173.75,2022-11-30
2022-09-30,Argentina-Peso,153.0,2022-09-30
2022-06-30,Argentina-Peso,145.0,2022-08-31
2022-06-30,Argentina-Peso,129.75,2022-06-30
2022-03-31,Argentina-Peso,116.0,2022-03-31
2021-12-31,Argentina-Peso,107.75,2021-12-31
2021-09-30,Argentina-Peso,103.75,2021-09-30
2021-06-30,Argentina-Peso,100.75,2021-06-30
2021-03-31,Argentina-Peso,97.25,2021-03-31
2020-12-31,Argentina-Peso,89.25,2020-12-31
2020-09-30,Argentina-Peso,80.0,2020-09-30
2020-06-30,Argentina-Peso,73.5,2020-06-30
2020-03-31,Argentina-Peso,72.0,2020-03-31
2019-12-31,Argentina-Peso,59.87,2019-12-31
2019-09-30,ARGENTINA-PESO,57.32,2019-09-30
2019-06-30,ARGENTINA-PESO,42.69,2019-06-30
2019-03-31,ARGENTINA-PESO,43.591,2019-03-31
2018-12-31,ARGENTINA-PESO,37.642,2018-12-31
2018-09-30,ARGENTINA-PESO,39.533,2018-09-30
2018-06-30,ARGENTINA-PESO,27.97,2018-06-30
2018-03-31,ARGENTINA-PESO,20.11,2018-03-31
2017-12-31,ARGENTINA-PESO,19.16,2017-12-31
2017-09-30,ARGENTINA-PESO,17.525,2017-09-30
2017-06-30,ARGENTINA-PESO,16.476,2017-06-30
2017-03-31,ARGENTINA-PESO,15.385,2017-03-31
2016-12-31,ARGENTINA-PESO,15.903,2016-12-31
2016-09-30,ARGENTINA-PESO,15.35,2016-09-30
2016-06-30,ARGENTINA-PESO,14.951,2016-06-30
2016-03-31,ARGENTINA-PESO,14.593,2016-03-31
2015-12-31,ARGENTINA-PESO,12.946,2015-12-31
2015-09-30,ARGENTINA-PESO,9.42,2015-09-30
2015-06-30,ARGENTINA-PESO,9.085,2015-06-30
2015-03-31,ARGENTINA-PESO,8.81,2015-03-31
2024-12-31,Armenia-Dram,390.0,2024-12-31
2024-09-30,Armenia-Dram,390.0,2024-09-30
2024-06-30,Armenia-Dram,390.0,2024-06-30
2024-03-31,Armenia-Dram,400.0,2024-03-31
2023-12-31,Armenia-Dram,400.0,2023-12-31
2023-09-30,Armenia-Dram,390.0,2023-09-30
2023-06-30,Armenia-Dram,390.0,2023-06-30
2023-03-31,Armenia-Dram,390.0,2023-03-31
2022-12-31,Armenia-Dram,400.0,2022-12-31
2022-09-30,Armenia-Dram,420.0,2022-09-30
2022-06-30,Armenia-Dram,420.0,2022-06-30
2022-03-31,Armenia-Dram,420.0,2022-06-15
2022-03-31,Armenia-Dram,490.0,2022-03-31
2021-12-31,Armenia-Dram,485.0,2021-12-31
2021-09-30,Armenia-Dram,490.0,2021-09-30
2021-06-30,Armenia-Dram,500.0,2021-06-30
2021-03-31,Armenia-Dram,520.0,2021-03-31
2020-12-31,Armenia-Dram,515.0,2020-12-31
2020-09-30,Armenia-Dram,484.0,2020-09-30
2020-06-30,Armenia-Dram,484.0,2020-06-30
2020-03-31,Armenia-Dram,480.0,2020-03-31
2019-12-31,Armenia-Dram,475.0,2019-12-31
2019-09-30,ARMENIA-DRAM,475.0,2019-09-30
2019-06-30,ARMENIA-DRAM,480.0,2019-06-30
2019-03-31,ARMENIA-DRAM,485.0,2019-03-31
2018-12-31,ARMENIA-DRAM,485.0,2018-12-31
2018-09-30,ARMENIA-DRAM,480.0,2018-09-30
2018-06-30,ARMENIA-DRAM,485.0,2018-06-30
2018-03-31,ARMENIA-DRAM,480.0,2018-03-31
2017-12-31,ARMENIA-DRAM,485.0,2017-12-31
2017-09-30,ARMENIA-DRAM,480.0,2017-09-30
2017-06-30,ARMENIA-DRAM,480.0,2017-06-30
2017-03-31,ARMENIA-DRAM,484.0,2017-03-31
2016-12-31,ARMENIA-DRAM,480.0,2016-12-31
2016-09-30,ARMENIA-DRAM,474.0,2016-09-30
2016-06-30,ARMENIA-DRAM,480.0,2016-06-30
2016-03-31,ARMENIA-DRAM,480.0,2016-03-31
2015-12-31,ARMENIA-DRAM,484.0,2015-12-31
2015-09-30,ARMENIA-DRAM,475.0,2015-09-30
2015-06-30,ARMENIA-DRAM,475.0,2015-06-30
2015-03-31,ARMENIA-DRAM,470.0,2015-03-31
2024-12-31,Australia-Dollar,1.612,2024-12-31
2024-09-30,Australia-Dollar,1.445,2024-09-30
2024-06-30,Australia-Dollar,1.503,2024-06-30
2024-03-31,Australia-Dollar,1.535,2024-03-31
2023-12-31,Australia-Dollar,1.472,2023-12-31
2023-09-30,Australia-Dollar,1.542,2023-09-30
2023-06-30,Australia-Dollar,1.509,2023-06-30
2023-03-31,Australia-Dollar,1.494,2023-03-31
2022-12-31,Australia-Dollar,1.471,2022-12-31
2022-09-30,Australia-Dollar,1.547,2022-09-30
2022-06-30,Australia-Dollar,1.453,2022-06-30
2022-03-31,Australia-Dollar,1.336,2022-03-31
2021-12-31,Australia-Dollar,1.375,2021-12-31
2021-09-30,Australia-Dollar,1.391,2021-09-30
2021-06-30,Australia-Dollar,1.334,2021-06-30
2021-03-31,Australia-Dollar,1.313,2021-03-31
2020-12-31,Australia-Dollar,1.294,2020-12-31
2020-09-30,Australia-Dollar,1.405,2020-09-30
2020-06-30,Australia-Dollar,1.459,2020-06-30
2020-03-31,Australia-Dollar,1.464,2020-03-31
2019-12-31,Australia-Dollar,1.425,2019-12-31
2019-09-30,AUSTRALIA-DOLLAR,1.481,2019-09-30
2019-06-30,AUSTRALIA-DOLLAR,1.427,2019-06-30
2019-03-31,AUSTRALIA-DOLLAR,1.409,2019-03-31
2018-12-31,AUSTRALIA-DOLLAR,1.416,2018-12-31
2018-09-30,AUSTRALIA-DOLLAR,1.386,2018-09-30
2018-06-30,AUSTRALIA-DOLLAR,1.354,2018-06-30
2018-03-31,AUSTRALIA-DOLLAR,1.299,2018-03-31
2017-12-31,AUSTRALIA-DOLLAR,1.279,2017-12-31
2017-09-30,AUSTRALIA-DOLLAR,1.276,2017-09-30
2017-06-30,AUSTRALIA-DOLLAR,1.301,2017-06-30
2017-03-31,AUSTRALIA-DOLLAR,1.308,2017-03-31
2016-12-31,AUSTRALIA-DOLLAR,1.385,2016-12-31
2016-09-30,AUSTRALIA-DOLLAR,1.313,2016-09-30
2016-06-30,AUSTRALIA-DOLLAR,1.344,2016-06-30
2016-03-31,AUSTRALIA-DOLLAR,1.298,2016-03-31
2015-12-31,AUSTRALIA-DOLLAR,1.368,2015-12-31
2015-09-30,AUSTRALIA-DOLLAR,1.423,2015-09-30
2015-06-30,AUSTRALIA-DOLLAR,1.302,2015-06-30
2015-03-31,AUSTRALIA-DOLLAR,1.315,2015-03-31
2024-12-31,Austria-Euro,0.961,2024-12-31
2021-12-31,Austria-Euro,0.882,2021-12-31
2021-09-30,Austria-Euro,0.864,2021-09-30
2020-09-30,Austria-Euro,0.854,2020-09-30
2020-06-30,Austria-Euro,0.893,2020-06-30
2020-03-31,Austria-Euro,0.914,2020-03-31
2019-12-31,Austria-Euro,0.89,2019-12-31
2019-09-30,AUSTRIA-EURO,0.917,2019-09-30
2019-06-30,AUSTRIA-EURO,0.879,2019-06-30
2019-03-31,AUSTRIA-EURO,0.89,2019-03-31
2018-12-31,AUSTRIA-EURO,0.872,2018-12-31
2018-09-30,AUSTRIA-EURO,0.863,2018-09-30
2018-06-30,AUSTRIA-EURO,0.858,2018-06-30
2018-03-31,AUSTRIA-EURO,0.811,2018-03-31
2017-12-31,AUSTRIA-EURO,0.833,2017-12-31
2017-09-30,AUSTRIA-EURO,0.847,2017-09-30
2017-06-30,AUSTRIA-EURO,0.877,2017-06-30
2017-03-31,AUSTRIA-EURO,0.936,2017-03-31
2016-12-31,AUSTRIA-EURO,0.949,2016-12-31
2016-09-30,AUSTRIA-EURO,0.896,2016-09-30
2016-06-30,AUSTRIA-EURO,0.9,2016-06-30
2016-03-31,AUSTRIA-EURO,0.878,2016-03-31
2015-12-31,AUSTRIA-EURO,0.919,2015-12-31
2015-09-30,AUSTRIA-EURO,0.892,2015-09-30
2015-06-30,AUSTRIA-EURO,0.895,2015-06-30
2015-03-31,AUSTRIA-EURO,0.93,2015-03-31
2024-12-31,Azerbaijan-Manat,1.7,2024-12-31
2024-09-30,Azerbaijan-Manat,1.7,2024-09-30
2024-06-30,Azerbaijan-Manat,1.7,2024-06-30
2024-03-31,Azerbaijan-Manat,1.7,2024-03-31
2023-12-31,Azerbaijan-Manat,1.7,2023-12-31
2023-09-30,Azerbaijan-Manat,1.7,2023-09-30
2023-06-30,Azerbaijan-Manat,1.7,2023-06-30
2023-03-31,Azerbaijan-Manat,1.7,2023-03-31
2022-12-31,Azerbaijan-Manat,1.7,2022-12-31
2022-09-30,Azerbaijan-Manat,1.7,2022-09-30
2022-06-30,Azerbaijan-Manat,1.7,2022-06-30
2022-03-31,Azerbaijan-Manat,1.7,2022-03-31
2021-12-31,Azerbaijan-Manat,1.7,2021-12-31
2021-09-30,Azerbaijan-Manat,1.7,2021-09-30
2021-06-30,Azerbaijan-Manat,1.7,2021-06-30
2021-03-31,Azerbaijan-Manat,1.7,2021-03-31
2020-12-31,Azerbaijan-Manat,1.7,2020-12-31
2020-09-30,Azerbaijan-Manat,1.7,2020-09-30
2020-06-30,Azerbaijan-Manat,1.7,2020-06-30
2020-03-31,Azerbaijan-Manat,1.7,2020-03-31
2019-12-31,Azerbaijan-Manat,1.7,2019-12-31
2019-09-30,AZERBAIJAN-NEW MANAT,1.7,2019-09-30
2019-06-30,AZERBAIJAN-NEW MANAT,1.7,2019-06-30
2019-03-31,AZERBAIJAN-NEW MANAT,1.7,2019-03-31
2018-12-31,AZERBAIJAN-NEW MANAT,1.7,2018-12-31
2018-09-30,AZERBAIJAN-NEW MANAT,1.7,2018-09-30
2018-06-30,AZERBAIJAN-NEW MANAT,1.7,2018-06-30
2018-03-31,AZERBAIJAN-NEW MANAT,1.7,2018-03-31
2017-12-31,AZERBAIJAN-NEW MANAT,1.71,2017-12-31
2017-09-30,AZERBAIJAN-NEW MANAT,1.71,2017-09-30
2017-06-30,AZERBAIJAN-NEW MANAT,1.71,2017-06-30
2017-03-31,AZERBAIJAN-NEW MANAT,1.75,2017-03-31
2016-12-31,AZERBAIJAN-NEW MANAT,1.84,2016-12-31
2016-09-30,AZERBAIJAN-MANAT,1.68,2016-09-30
2016-09-30,AZERBAIJAN-NEW MANAT,1.68,2016-09-30
2016-06-30,AZERBAIJAN-NEW MANAT,1.6,2016-06-30
2016-03-31,AZERBAIJAN-NEW MANAT,1.58,2016-03-31
2015-12-31,AZERBAIJAN-NEW MANAT,1.62,2015-12-31
2015-09-30,AZERBAIJAN-NEW MANAT,1.07,2015-09-30
2015-06-30,AZERBAIJAN-NEW MANAT,1.07,2015-06-30
2015-03-31,AZERBAIJAN-NEW MANAT,1.049,2015-03-31
2024-12-31,Bahamas-Dollar,1.0,2024-12-31
2024-09-30,Bahamas-Dollar,1.0,2024-09-30
2024-06-30,Bahamas-Dollar,1.0,2024-06-30
2024-03-31,Bahamas-Dollar,1.0,2024-03-31
2023-12-31,Bahamas-Dollar,1.0,2023-12-31
2023-09-30,Bahamas-Dollar,1.0,2023-09-30
2023-06-30,Bahamas-Dollar,1.0,2023-06-30
2023-03-31,Bahamas-Dollar,1.0,2023-03-31
2022-12-31,Bahamas-Dollar,1.0,2022-12-31
2022-09-30,Bahamas-Dollar,1.0,2022-09-30
2022-06-30,Bahamas-Dollar,1.0,2022-06-30
2022-03-31,Bahamas-Dollar,1.0,2022-03-31
2021-12-31,Bahamas-Dollar,1.0,2021-12-31
2021-09-30,Bahamas-Dollar,1.0,2021-09-30
2021-06-30,Bahamas-Dollar,1.0,2021-06-30
2021-03-31,Bahamas-Dollar,1.0,2021-03-31
2020-12-31,Bahamas-Dollar,1.0,2020-12-31
2020-09-30,Bahamas-Dollar,1.0,2020-09-30
2020-06-30,Bahamas-Dollar,1.0,2020-06-30
2020-03-31,Bahamas-Dollar,1.0,2020-03-31
2019-12-31,Bahamas-Dollar,1.0,2019-12-31
2019-09-30,BAHAMAS-DOLLAR,1.0,2019-09-30
2019-06-30,BAHAMAS-DOLLAR,1.0,2019-06-30
2019-03-31,BAHAMAS-DOLLAR,1.0,2019-03-31
2018-12-31,BAHAMAS-DOLLAR,1.0,2018-12-31
2018-09-30,BAHAMAS-DOLLAR,1.0,2018-09-30
2018-06-30,BAHAMAS-DOLLAR,1.0,2018-06-30
2018-03-31,BAHAMAS-DOLLAR,1.0,2018-03-31
2017-12-31,BAHAMAS-DOLLAR,1.0,2017-12-31
2017-09-30,BAHAMAS-DOLLAR,1.0,2017-09-30
2017-06-30,BAHAMAS-DOLLAR,1.0,2017-06-30
2017-03-31,BAHAMAS-DOLLAR,1.0,2017-03-31
2016-12-31,BAHAMAS-DOLLAR,1.0,2016-12-31
2016-09-30,BAHAMAS-DOLLAR,1.0,2016-09-30
2016-06-30,BAHAMAS-DOLLAR,1.0,2016-06-30
2016-03-31,BAHAMAS-DOLLAR,1.0,2016-03-31
2015-12-31,BAHAMAS-DOLLAR,1.0,2015-12-31
2015-09-30,BAHAMAS-DOLLAR,1.0,2015-09-30
2015-06-30,BAHAMAS-DOLLAR,1.0,2015-06-30
2015-03-31,BAHAMAS-DOLLAR,1.0,2015-03-31
2024-12-31,Bahrain-Dinar,0.377,2024-12-31
2024-09-30,Bahrain-Dinar,0.377,2024-09-30
2024-06-30,Bahrain-Dinar,0.377,2024-06-30
2024-03-31,Bahrain-Dinar,0.377,2024-03-31
2023-12-31,Bahrain-Dinar,0.377,2023-12-31
2023-09-30,Bahrain-Dinar,0.377,2023-09-30
2023-06-30,Bahrain-Dinar,0.377,2023-06-30
